MP name	State	Political party	Educational qualifications	Age	Attendance
C. Rajendran	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Graduate	52	71%
C. Sivasami	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Post Graduate	55	69%
Chandra Sekhar Kalva Kuntla Rao	Andhra Pradesh	Telangana Rashtra Samithi	Post Graduate	58	10%
Chandrakant Bhaurao Khaire	Maharashtra	Shiv Sena	Graduate	60	69%
Chandresh Kumari Katoch	Rajasthan	Indian National Congress	Under Graduate	68	78%
Chandu Lal Sahu	Chhattisgarh	Bharatiya Janata Party	Graduate	53	83%
Charan Das Mahant	Chhattisgarh	Indian National Congress	Doctorate	57	93%
Charles Dias		Indian National Congress	Doctorate	62	99%
Chaudhary Lal Singh	Jammu and Kashmir	Indian National Congress	Graduate	53	87%
Chinta Mohan	Andhra Pradesh	Indian National Congress	Graduate	57	78%
Choudhury Mohan Jatua	West Bengal	All India Trinamool Congress	Post Graduate	74	N/A
D. Napoleon	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	48	N/A
D.B. Chandre Gowda	Karnataka	Bharatiya Janata Party	Post Graduate	76	61%
D.V. Sadananda Gowda	Karnataka	Bharatiya Janata Party	Graduate	59	42%
Daggubati Purandeswari	Andhra Pradesh	Indian National Congress	Graduate	53	N/A
Danapal Venugopal	Tamil Nadu	Dravida Munnetra Kazhagam	Inter/ Higher Secondary	80	64%
Dara Singh Chauhan	Uttar Pradesh	Bahujan Samaj Party	Graduate	49	92%
Darshana Vikram Jardosh	Gujarat	Bharatiya Janata Party	Graduate	51	90%
Datta Raghobaji Meghe	Maharashtra	Indian National Congress	Graduate	75	88%
Davidson J. Helen	Tamil Nadu	Dravida Munnetra Kazhagam	Post Graduate	41	78%
Dayanidhi Maran	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	45	69%
Deepa Dashmunsi	West Bengal	Indian National Congress	Post Graduate	51	79%
Deepender Singh Hooda	Haryana	Indian National Congress	Post Graduate	34	79%
Deoraj Singh Patel	Madhya Pradesh	Bahujan Samaj Party	Post Graduate	43	88%
Devendra Nagpal	Uttar Pradesh	Rashtriya Lok Dal	Graduate	41	55%
Devidhan Besra	Jharkhand	Bharatiya Janata Party	Matric	72	68%
Devji Patel	Rajasthan	Bharatiya Janata Party	Matric	35	79%
Dhananjay Singh	Uttar Pradesh	Bahujan Samaj Party	Post Graduate	37	66%
Dharmendra Yadav	Uttar Pradesh	Samajwadi Party	Post Graduate	33	76%
Dhruva Narayana Rangaswamy	Karnataka	Indian National Congress	Post Graduate	51	81%
Digvijay Singh	Bihar	Independent	Post Graduate	56	77%
Dilip Kumar Mansukhlal Gandhi	Maharashtra	Bharatiya Janata Party	Matric	61	67%
Dilip Singh Ju Dev	Chhattisgarh	Bharatiya Janata Party	Post Graduate	70	60%
Dimple Yadav	Uttar Pradesh	Samajwadi Party	Graduate	34	37%
Dinesh Chandra Yadav	Bihar	Janata Dal (United)	Diploma Course	62	92%
Dinesh Kashyap	Chhattisgarh	Bharatiya Janata Party	Others	42	56%
Dinesh Trivedi	West Bengal	All India Trinamool Congress	Post Graduate	62	59%
Dinsha J. Patel	Gujarat	Indian National Congress	Matric	75	N/A
Dip Gogoi	Assam	Indian National Congress	Graduate	60	79%
Dudhgaonkar Ganeshrao Nagorao	Maharashtra	Shiv Sena	Graduate	67	90%
Dushyant Singh	Rajasthan	Bharatiya Janata Party	Post Graduate	39	78%
E. Ahamed	Kerala	Muslim League Kerala State Committee	Graduate	74	N/A
E. T. Mohammed Basheer	Kerala	Muslim League Kerala State Committee	Inter/ Higher Secondary	66	77%
E.G. Sugavanam	Tamil Nadu	Dravida Munnetra Kazhagam	Diploma Course	54	56%
Eknath Mahadeo Gaikwad	Maharashtra	Indian National Congress	Under Graduate	72	98%
Farooq Abdullah	Jammu and Kashmir	Jammu and Kashmir National Conference	Graduate	74	N/A
Feroze Varun Gandhi	Uttar Pradesh	Bharatiya Janata Party	Graduate	32	70%
Francisco Sardinha	Goa	Indian National Congress	Graduate	66	94%
G.V. Harsha Kumar	Andhra Pradesh	Indian National Congress	Post Graduate	53	81%
Gaddam Vivekanand	Andhra Pradesh	Indian National Congress	Graduate	54	66%
Gadhvi Mukeshkumar Bhairavdanji	Gujarat	Indian National Congress	Graduate	49	83%
Gajanan Dharmshi Babar	Maharashtra	Shiv Sena	Under Matric	69	70%
Gajendra Singh Rajukhedi	Madhya Pradesh	Indian National Congress	Graduate	47	85%
Ganesh Singh	Madhya Pradesh	Bharatiya Janata Party	Post Graduate	50	83%
Gangasandra Siddappa Basavaraj	Karnataka	Bharatiya Janata Party	Graduate	71	75%
Ghansyam Anuragi	Uttar Pradesh	Samajwadi Party	Post Graduate	39	94%
Girija Vyas	Rajasthan	Indian National Congress	Doctorate	66	89%
Gobinda Chandra Naskar	West Bengal	All India Trinamool Congress	Post Graduate	71	79%
Gopal Singh Shekhawat	Rajasthan	Indian National Congress	Graduate	61	89%
Gorakh Prasad Jaiswal	Uttar Pradesh	Bahujan Samaj Party	Matric	73	85%
Goraknath Pandey	Uttar Pradesh	Bahujan Samaj Party	Post Graduate	61	95%
Govind Prasad Mishra	Madhya Pradesh	Bharatiya Janata Party	Graduate	63	94%
Gowdar Mallikarjunappa Siddeswara	Karnataka	Bharatiya Janata Party	Matric	60	61%
Gurudas Dasgupta	West Bengal	Communist Party of India	Post Graduate	75	87%
Gurudas Kamat	Maharashtra	Indian National Congress	Post Graduate	57	N/A
H.D. Devegowda	Karnataka	Janata Dal (Secular)	Diploma Course	79	69%
H.D. Kumaraswamy	Karnataka	Janata Dal (Secular)	Graduate	52	37%
Hamdullah Sayeed	Lakshadweep	Indian National Congress	Graduate	30	84%
Hansraj Gangaram Ahir	Maharashtra	Bharatiya Janata Party	Inter/ Higher Secondary	57	73%
Hari Manjhi	Bihar	Bharatiya Janata Party	Under Matric	49	95%
Haribhau Madhav Jawale	Maharashtra	Bharatiya Janata Party	Graduate	59	84%
Harin Pathak	Gujarat	Bharatiya Janata Party	Graduate	65	86%
Harischandra Deoram Chavan	Maharashtra	Bharatiya Janata Party	Graduate	60	81%
Harish Choudhary	Rajasthan	Indian National Congress	Post Graduate	42	89%
Harish Rawat	Uttarakhand	Indian National Congress	Graduate	64	N/A
Harsh Vardhan	Uttar Pradesh	Indian National Congress	Graduate	64	81%
Harsimrat Kaur Badal	Punjab	Shiromani Akali Dal	Graduate	46	76%
Hassan Khan	Jammu and Kashmir	Independent	Graduate	72	94%
Hemanand Biswal	Orissa	Indian National Congress	Inter/ Higher Secondary	72	88%
Hukamdeo Narayan Yadav	Bihar	Bharatiya Janata Party	Graduate	72	95%
Ijyaraj Singh	Rajasthan	Indian National Congress	Post Graduate	47	87%
Inder Singh Namdhari	Jharkhand	Independent	Graduate	70	90%
Inderjit Singh Rao	Haryana	Indian National Congress	Graduate	62	81%
Ingrid Mcleod		Independent	Graduate	44	81%
Ismail Hussain	Assam	Indian National Congress	Post Graduate	62	92%
J. Shantha	Karnataka	Bharatiya Janata Party	Inter/ Higher Secondary	39	58%
J.M. Aaron Rashid	Tamil Nadu	Indian National Congress	Inter/ Higher Secondary	62	65%
Jadhav Baliram Sukur	Maharashtra	Bahujan Vikas Aaghadi	Under Matric	56	93%
Jadhav Prataprao Ganpatrao	Maharashtra	Shiv Sena	Under Graduate	51	63%
Jagada Nand Singh	Bihar	Rashtriya Janata Dal	Graduate	70	94%
Jagdambika Pal	Uttar Pradesh	Indian National Congress	Post Graduate	61	93%
Jagdish Sharma	Bihar	Janata Dal (United)	Graduate	61	83%
Jagdish Singh Rana	Uttar Pradesh	Bahujan Samaj Party	Graduate	58	84%
Jagdish Thakor	Gujarat	Indian National Congress	Matric	55	63%
Jai Prakash Agarwal	Delhi	Indian National Congress	Graduate	67	98%
Jainarain Prasad Nishad	Bihar	Janata Dal (United)	Inter/ Higher Secondary	81	82%
Jaipal Sudini Reddy	Andhra Pradesh	Indian National Congress	Post Graduate	70	N/A
Janardhana Swamy	Karnataka	Bharatiya Janata Party	Post Graduate	44	63%
Jaswant Singh	West Bengal	Bharatiya Janata Party	Graduate	74	74%
Jayant Chaudhary	Uttar Pradesh	Rashtriya Lok Dal	Post Graduate	33	84%
Jayaram Pangi	Orissa	Biju Janata Dal	Inter/ Higher Secondary	57	72%
Jayshreeben Kanubhai Patel	Gujarat	Bharatiya Janata Party	Matric	53	87%
Jeetendra Singh Bundela	Madhya Pradesh	Bharatiya Janata Party	Post Graduate	53	90%
Jhansi Botcha Lakshmi	Andhra Pradesh	Indian National Congress	Doctorate	48	91%
Jitender Singh Malik	Haryana	Indian National Congress	Graduate	42	63%
Jitendra Singh	Rajasthan	Indian National Congress	Graduate	41	69%
Jitin Prasada	Uttar Pradesh	Indian National Congress	Post Graduate	38	N/A
Jose K. Mani	Kerala	Kerala Congress (M)	Post Graduate	47	83%
Joseph Toppo	Assam	Asom Gana Parishad	Inter/ Higher Secondary	58	74%
Jyoti Dhurve	Madhya Pradesh	Bharatiya Janata Party	Post Graduate	46	85%
Jyoti Mirdha	Rajasthan	Indian National Congress	Graduate	40	93%
Jyotiraditya Madhavrao Scindia	Madhya Pradesh	Indian National Congress	Post Graduate	41	N/A
K. C. Venugopal	Kerala	Indian National Congress	Post Graduate	49	84%
K. D. Deshmukh	Madhya Pradesh	Bharatiya Janata Party	Graduate	63	69%
K. Jayaprakash Hegde	Karnataka	Indian National Congress	Graduate	52	98%
K. Jayasurya Prakash Reddy	Andhra Pradesh	Indian National Congress	Graduate	60	56%
K. Murugesan Anandan	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Under Graduate	60	89%
K. P. Dhanapalan	Kerala	Indian National Congress	Graduate	62	100%
K. Sugumar	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Graduate	51	84%
K.C. Singh Baba	Uttarakhand	Indian National Congress	Inter/ Higher Secondary	65	63%
K.H. Muniyappa	Karnataka	Indian National Congress	Graduate	64	N/A
K.V. Thomas	Kerala	Indian National Congress	Post Graduate	66	N/A
Kabindra Purkayastha	Assam	Bharatiya Janata Party	Post Graduate	80	89%
Kabir Suman	West Bengal	All India Trinamool Congress	Graduate	62	34%
Kadir Rana	Uttar Pradesh	Bahujan Samaj Party	Under Matric	50	53%
Kailash Joshi	Madhya Pradesh	Bharatiya Janata Party	Matric	83	84%
Kaisar Jahan	Uttar Pradesh	Bahujan Samaj Party	Under Matric	38	58%
Kakoli Ghosh Dastidar	West Bengal	All India Trinamool Congress	Post Graduate	52	69%
Kalikesh Narayan Singh Deo	Orissa	Biju Janata Dal	Graduate	38	69%
Kalyan Banerjee	West Bengal	All India Trinamool Congress	Graduate	55	72%
Kalyan Singh	Uttar Pradesh	Independent	Graduate	80	46%
Kamal Kishor	Uttar Pradesh	Indian National Congress	Graduate	56	95%
Kamal Nath	Madhya Pradesh	Indian National Congress	Graduate	65	N/A
Kameshwar Baitha	Jharkhand	Jharkhand Mukti Morcha	Matric	56	35%
Kamla Devi Patle	Chhattisgarh	Bharatiya Janata Party	Under Graduate	46	74%
Kamlesh Balmiki	Uttar Pradesh	Samajwadi Party	Under Matric	59	85%
Kamlesh Paswan	Uttar Pradesh	Bharatiya Janata Party	Inter/ Higher Secondary	36	85%
Kantilal Bhuria	Madhya Pradesh	Indian National Congress	Post Graduate	62	53%
Kapil Muni Karwariya	Uttar Pradesh	Bahujan Samaj Party	Graduate	45	81%
Kapil Sibal	Delhi	Indian National Congress	Post Graduate	64	N/A
Kariya Munda	Jharkhand	Bharatiya Janata Party	Post Graduate	76	N/A
Katti Ramesh Vishwanath	Karnataka	Bharatiya Janata Party	Under Graduate	47	73%
Kaushalendra Kumar	Bihar	Janata Dal (United)	Inter/ Higher Secondary	54	97%
Kavuri Samba Siva Rao	Andhra Pradesh	Indian National Congress	Graduate	68	82%
Khagen Das	Tripura	Communist Party of India (Marxist)	Post Graduate	75	74%
Khatgaonkar Patil Bhaskarrao Bapurao	Maharashtra	Indian National Congress	Graduate	68	74%
Khiladi Lal Bairwa	Rajasthan	Indian National Congress	Graduate	48	93%
Killi Krupa Rani	Andhra Pradesh	Indian National Congress	Graduate	46	89%
Kirit Premjibhai Solanki	Gujarat	Bharatiya Janata Party	Post Graduate	62	93%
Kirodilal Meena	Rajasthan	Independent	Graduate	60	93%
Kirti (Jha) Azad	Bihar	Bharatiya Janata Party	Graduate	53	93%
Kishanbhai Vestabhai Patel	Gujarat	Indian National Congress	Inter/ Higher Secondary	48	85%
Komatireddy Raj Gopal Reddy	Andhra Pradesh	Indian National Congress	Graduate	45	62%
Konakalla Narayana Rao	Andhra Pradesh	Telugu Desam Party	Inter/ Higher Secondary	62	77%
Krishna Tirath	Delhi	Indian National Congress	Post Graduate	57	N/A
Kristappa Nimmala	Andhra Pradesh	Telugu Desam Party	Graduate	55	82%
Kuldeep Bishnoi	Haryana	Haryana Janhit Congress	Graduate	43	54%
Kumbakudi Sudhakaran	Kerala	Indian National Congress	Post Graduate	64	64%
Kunwarjibhai Mohanbhai Bavaliya	Gujarat	Indian National Congress	Graduate	57	69%
Lakshmi Panabaka	Andhra Pradesh	Indian National Congress	Post Graduate	53	N/A
Lal Chand Kataria	Rajasthan	Indian National Congress	Inter/ Higher Secondary	44	92%
Lal Ji Tandon	Uttar Pradesh	Bharatiya Janata Party	Graduate	77	77%
Lal Krishna Advani	Gujarat	Bharatiya Janata Party	Graduate	84	98%
Lalit Mohan Suklabaidya	Assam	Indian National Congress	Post Graduate	69	95%
Lalu Prasad	Bihar	Rashtriya Janata Dal	Graduate	64	77%
Lalubhai Babubhai Patel	Daman and Diu	Bharatiya Janata Party	Matric	57	64%
Laxman Tudu	Orissa	Biju Janata Dal	Graduate	47	54%
M. Anjan Kumar Yadav	Andhra Pradesh	Indian National Congress	Graduate	51	69%
M. B. Rajesh	Kerala	Communist Party of India (Marxist)	Post Graduate	41	94%
M. I. Shanavas	Kerala	Indian National Congress	Post Graduate	60	80%
M. Jagannath	Andhra Pradesh	Indian National Congress	Post Graduate	61	76%
M. K. Alagiri	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	61	N/A
M. K. Raghavan	Kerala	Indian National Congress	Graduate	60	76%
M. Krishnaswamy	Tamil Nadu	Indian National Congress	Graduate	72	89%
M. Veerappa Moily	Karnataka	Indian National Congress	Graduate	72	N/A
M. Vijaya Shanthi	Andhra Pradesh	Telangana Rashtra Samithi	Matric	46	13%
Madan Lal Sharma	Jammu and Kashmir	Indian National Congress	Inter/ Higher Secondary	60	91%
Madhu Goud Yaskhi	Andhra Pradesh	Indian National Congress	Post Graduate	51	74%
Madhu Kora	Jharkhand	Independent	Graduate	41	27%
Madhusudan Yadav	Chhattisgarh	Bharatiya Janata Party	Inter/ Higher Secondary	42	37%
Magunta Srinivasulu Reddy	Andhra Pradesh	Indian National Congress	Graduate	58	58%
Mahabal Mishra	Delhi	Indian National Congress	Inter/ Higher Secondary	59	94%
Mahabali Singh	Bihar	Janata Dal (United)	Under Matric	57	90%
Mahadeo Singh Khandela	Rajasthan	Indian National Congress	Post Graduate	68	N/A
Mahendra Kumar Roy	West Bengal	Communist Party of India (Marxist)	Graduate	56	92%
Mahendrasinh Pruthvisinh Chauhan	Gujarat	Bharatiya Janata Party	Graduate	58	99%
Mahesh Joshi	Rajasthan	Indian National Congress	Doctorate	57	95%
Maheshwar Hazari	Bihar	Janata Dal (United)	Graduate	49	93%
Makhansingh Solanki	Madhya Pradesh	Bharatiya Janata Party	Under Matric	60	84%
Mallikarjun Kharge	Karnataka	Indian National Congress	Graduate	70	N/A
Mallipudi Raju Pallam Mangapati	Andhra Pradesh	Indian National Congress	Post Graduate	50	N/A
Mamata Banerjee	West Bengal	All India Trinamool Congress	Post Graduate	57	N/A
Maneka Gandhi	Uttar Pradesh	Bharatiya Janata Party	Inter/ Higher Secondary	56	74%
Mangani Lal Mandal	Bihar	Janata Dal (United)	Post Graduate	64	96%
Manicka Tagore	Tamil Nadu	Indian National Congress	Graduate	37	90%
Manikrao Hodlya Gavit	Maharashtra	Indian National Congress	Matric	77	89%
Manish Tewari	Punjab	Indian National Congress	Graduate	46	89%
Manohar Tirkey	West Bengal	Revolutionary Socialist Party	Inter/ Higher Secondary	58	60%
Mansukhbhai D. Vasava	Gujarat	Bharatiya Janata Party	Post Graduate	55	82%
Marotrao Sainuji Kowase	Maharashtra	Indian National Congress	Post Graduate	62	85%
Mausam Noor	West Bengal	Indian National Congress	Graduate	32	72%
Meena Singh	Bihar	Janata Dal (United)	Graduate	50	87%
Meenakshi Natrajan	Madhya Pradesh	Indian National Congress	Post Graduate	39	86%
Meira Kumar	Bihar	Indian National Congress	Post Graduate	67	N/A
Mekapati Rajamohan Reddy	Andhra Pradesh	Yuvajana Sramika Rythu Congress Party	Graduate	68	59%
Milind Murli Deora	Maharashtra	Indian National Congress	Graduate	35	88%
Mirza Mehboob Beg	Jammu and Kashmir	Jammu and Kashmir National Conference	Graduate	63	84%
Mithlesh Kumar	Uttar Pradesh	Samajwadi Party	Graduate	47	87%
Modugula Venugopala Reddy	Andhra Pradesh	Telugu Desam Party	Graduate	46	65%
Mohammed Azharuddin	Uttar Pradesh	Indian National Congress	Graduate	49	76%
Mohan Jena	Orissa	Biju Janata Dal	Post Graduate	55	74%
Mohinder Singh Kaypee	Punjab	Indian National Congress	Graduate	55	89%
Monazir Hassan	Bihar	Janata Dal (United)	Doctorate	55	86%
Mukul Balkrishna Wasnik	Maharashtra	Indian National Congress	Post Graduate	52	N/A
Mulayam Singh Yadav	Uttar Pradesh	Samajwadi Party	Post Graduate	72	85%
Munde Gopinathrao Pandurang	Maharashtra	Bharatiya Janata Party	Graduate	62	72%
Munisamy Thambidurai	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Doctorate	65	82%
Murarilal Singh	Chhattisgarh	Bharatiya Janata Party	Inter/ Higher Secondary	60	70%
Murli Manohar Joshi	Uttar Pradesh	Bharatiya Janata Party	Doctorate	78	86%
N Cheluvaraya Swamy @ Swamygowda	Karnataka	Janata Dal (Secular)	Diploma Course	52	60%
N. Peethambara Kurup	Kerala	Indian National Congress	Graduate	70	85%
N.Dharam Singh	Karnataka	Indian National Congress	Post Graduate	75	71%
N.S.V. Chitthan	Tamil Nadu	Indian National Congress	Graduate	78	92%
Nalin Kumar Kateel	Karnataka	Bharatiya Janata Party	Matric	45	72%
Nama Nageswara Rao	Andhra Pradesh	Telugu Desam Party	Inter/ Higher Secondary	55	84%
Namo Narain Meena	Rajasthan	Indian National Congress	Post Graduate	68	N/A
Narahari Mahato	West Bengal	All India Forward Bloc	Post Graduate	56	71%
Naramalli Sivaprasad	Andhra Pradesh	Telugu Desam Party	Graduate	61	57%
Naranbhai Kachhadia	Gujarat	Bharatiya Janata Party	Under Matric	57	94%
Narayan Singh Amlabe	Madhya Pradesh	Indian National Congress	Inter/ Higher Secondary	61	95%
Narendra Singh Tomar	Madhya Pradesh	Bharatiya Janata Party	Graduate	55	70%
Natubhai Gomanbhai Patel	Dadra and Nagar Haveli	Bharatiya Janata Party	Under Matric	40	48%
Naveen Jindal	Haryana	Indian National Congress	Post Graduate	42	82%
Navjot Singh Sidhu	Punjab	Bharatiya Janata Party	Graduate	48	28%
Neeraj Shekhar	Uttar Pradesh	Samajwadi Party	Graduate	43	93%
Nikhil Kumar Choudhary	Bihar	Bharatiya Janata Party	Graduate	66	86%
Nilesh Narayan Rane	Maharashtra	Indian National Congress	Doctorate	31	73%
Ninong Ering	Arunachal Pradesh	Indian National Congress	Graduate	53	88%
Nirmal Khatri	Uttar Pradesh	Indian National Congress	Doctorate	61	98%
Nishikant Dubey	Jharkhand	Bharatiya Janata Party	Post Graduate	43	94%
Nityananda Pradhan	Orissa	Biju Janata Dal	Post Graduate	67	70%
Nripendra Nath Roy	West Bengal	All India Forward Bloc	Graduate	53	71%
O. S. Manian	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Inter/ Higher Secondary	58	61%
Om Prakash Yadav	Bihar	Independent	Graduate	50	71%
P. Balram	Andhra Pradesh	Indian National Congress	Graduate	48	68%
P. C. Mohan	Karnataka	Bharatiya Janata Party	Inter/ Higher Secondary	49	73%
P. Jaya Prada Nahata	Uttar Pradesh	Independent	Graduate	50	32%
P. K. Biju	Kerala	Communist Party of India (Marxist)	Post Graduate	38	84%
P. Karunakaran	Kerala	Communist Party of India (Marxist)	Post Graduate	67	73%
P. Kumar	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Graduate	41	85%
P. Lingam	Tamil Nadu	Communist Party of India	Graduate	46	95%
P. T. Thomas	Kerala	Indian National Congress	Post Graduate	61	100%
P. Venugopal	Tamil Nadu	All India Anna Dravida Munnetra Kazhagam	Graduate	60	87%
P. Viswanathan	Tamil Nadu	Indian National Congress	Graduate	48	85%
P.C. Chacko	Kerala	Indian National Congress	Post Graduate	65	90%
P.C. Gaddigoudar	Karnataka	Bharatiya Janata Party	Graduate	61	78%
P.L. Punia	Uttar Pradesh	Indian National Congress	Doctorate	67	98%
P.R. Natarajan	Tamil Nadu	Communist Party of India (Marxist)	Under Graduate	61	87%
Paban Singh Ghatowar	Assam	Indian National Congress	Graduate	61	91%
